R1,R2,QT,CT,GT,STDT,SEGT,MEM,STD,NSTD,STDSEG,NOTSTDSEG,PTQTDALL,PTQTDEPR
677,766,2343975519,772648545,20218,1483925,5644445,1066596632,16,7,11,7,74214,8617
677,796,2343008648,936466801,25947,1604374,6499968,668445240,19,7,8,7,89942,8312
678,681,2461104154,2376857914,99062,3661706,8125420,722452544,63,7,7,7,136937,10534
706,737,2509977609,464306084,13096,1522390,6585618,950240656,8,7,0,7,40268,11159
727,795,2287784845,615857187,19511,2475209,3541947,1230587400,16,7,13,6,57711,12097
758,795,2257298072,611423602,20713,2535901,3678012,559302640,16,7,13,7,58774,9422
759,795,2377899594,433024844,19301,1715718,2501619,752051920,14,7,12,6,54910,8516
760,795,2384086190,535992837,22306,1622479,2819613,979833384,16,9,15,6,59580,8460
761,795,2283060809,524235398,31697,1593553,2668247,1225137040,17,8,14,6,62506,7645
762,795,2295075457,585822575,23923,1973197,3431150,595060088,18,8,14,6,62837,7636
790,795,2386701020,538930265,22657,1721768,2724241,827482944,16,9,15,6,59580,8648
251,283,2195989735,210981414,14292,576793,2402621,916869016,11,5,7,6,21360,3668
251,284,2215968668,185758059,12589,751236,3489554,1006263992,9,5,7,6,20335,4843
251,313,2075152257,129516308,15700,943643,3411672,1059896488,4,6,9,7,16227,4175
252,283,2119910106,133837055,17002,268538,1589160,1113528320,14,6,2,6,31377,1783
252,284,2393020342,224129692,21348,794029,6558893,1185039288,12,6,2,6,30352,3361
252,343,2456851145,271290029,16468,1108362,5860178,1274436456,5,6,4,6,19751,4895
281,284,2719826263,341878413,17548,914499,4649889,1381698680,9,7,8,7,22441,5523
281,312,2654645271,236874378,20634,1022369,9795397,568858960,10,7,3,6,32495,6464
282,284,3016674545,913052015,117279,2778032,13737868,846868176,56,6,1,6,73409,5771
282,344,2965501679,440541863,51162,2322578,8571538,985867304,30,7,2,5,38109,6068
282,347,2872788581,462823156,24258,3032744,9143163,1142235464,14,6,8,6,21128,8714
282,376,2899302971,525286692,31956,1267436,7304877,1315993064,13,13,14,6,23426,7928
282,378,2912228090,163010772,28670,2100371,8012176,499944480,6,6,9,6,17295,6295
282,408,2910811923,173849913,16624,1860399,7122061,567513704,6,6,12,6,17295,6900
283,378,2717520176,142024050,12445,928087,4665836,618197456,6,6,9,6,23574,5646
283,408,2706567992,164357901,15830,1622949,7399024,685768664,6,6,12,6,23574,6251
284,312,2723847444,448006059,13117,939977,3939972,820912528,4,6,10,6,20359,5679
284,347,2741581432,434299820,30274,1756455,9165678,972954520,15,6,8,6,25907,7565
284,378,2759525472,137053327,15882,1260205,6259023,1023629896,6,6,9,6,23574,5335
284,408,2726992358,134805440,11473,942682,6345708,1074305360,6,6,12,6,23574,5940
312,795,2807622086,551543755,20989,4264190,7504603,1260122096,11,6,11,5,25431,15343
314,376,2678759911,545651152,48730,1496340,6624102,598252088,24,7,5,6,35978,5188
314,377,2707182402,528350953,29522,989051,7359085,778990920,24,7,5,6,35978,5551
314,378,2714344010,119191963,17556,1217927,5866379,811860072,6,6,6,6,24893,4561
314,408,2732744871,130187555,23180,1369596,6397421,877582584,6,6,9,6,24593,5166
342,520,3057147891,806288787,95558,2739354,7776749,1173355336,49,6,6,6,92763,7899
342,758,2939640302,1448594012,47683,6609148,32320839,759058928,37,6,25,21,80506,19133
342,759,2964949230,1463225927,43849,5655489,32532047,1174815800,36,6,25,21,74988,20290
342,762,2975856419,1444295314,55896,8457212,33717512,798221720,32,6,26,22,74899,22152
342,789,3002525393,1602729787,66640,7395203,35625490,1233930680,37,6,25,21,79742,21005
342,790,3014349082,1500044957,57419,7865696,33611364,864330288,34,6,25,21,78252,20793
342,795,2937307217,707290765,21433,4570791,10056189,1091603416,14,6,10,5,44044,16596
343,796,2701393892,149028301,14619,1625743,8338096,1152217952,4,6,4,6,26928,9050
343,826,2803693899,137995527,10603,1014490,6319521,1212822992,4,6,4,6,26928,9081
344,375,2775600379,661804174,50714,1517584,2898237,658804200,29,6,3,6,43828,3635
372,795,2780863869,765507092,31218,2867693,2960917,895039200,14,6,10,4,47039,15743
377,646,2952547145,2958243173,39158,9237878,35583227,1004297016,30,7,3,6,78064,19184
377,677,2801287589,234229161,17256,1173503,9142082,1090611592,7,6,0,6,33164,7637
378,677,2727434175,245460592,23461,1472451,6206664,1176936104,6,6,0,6,32138,7824
401,758,2791886481,1265265033,73323,4537162,22771603,822869576,38,6,25,21,91587,16666
401,759,2665507459,1370798684,65645,7188265,29892570,511864264,36,6,25,21,84691,17552
401,762,2779204139,1015485548,37226,4058651,18080269,908394688,33,6,26,21,85980,20029
401,789,2313278746,1134229795,46120,5421101,23253630,640958264,37,7,26,21,90823,18572
401,790,2334104272,1051955294,41677,3989089,18294140,1027781496,35,6,25,21,89333,18576
401,792,2252680078,1068374353,38457,4846948,19745625,760935256,33,6,26,21,85980,20483
401,795,2346546760,635429122,26088,4150152,3194929,995173120,14,6,10,4,50514,15099
402,795,2348976422,695685850,19277,3406100,4448874,577476936,14,6,10,4,50514,15408
408,677,2349410815,193458646,11059,1138867,5096611,679072096,6,6,0,6,32138,8025
431,795,2397818003,521690574,18435,2538607,2692375,907633232,14,6,10,4,51332,14613
437,466,2291390397,795543780,49480,1195108,8616803,605188064,38,6,1,6,72366,4223
438,677,2327559682,206404012,12561,1221325,4797447,716746584,6,6,0,6,32138,8261
460,795,2330385936,679971923,28666,5331487,3908837,939840024,14,6,10,4,52352,14173
461,795,2817313921,730043227,34850,4294115,5470705,538580736,14,6,10,4,51332,14556
466,497,2914802960,170850873,15570,384580,1153174,659607248,9,6,6,5,37821,1664
467,646,3013457679,2125807021,59645,4949004,4105095,624087400,30,9,9,6,84648,12368
467,676,3118445456,2005870265,38144,4811254,5049098,589102344,31,6,6,6,78614,13231
468,677,2785832476,255861736,12118,1351948,5874455,693002192,6,6,0,6,29740,8203
490,795,2816656264,694837959,38740,5052957,4204945,912353664,14,6,10,4,53206,13761
495,646,2601228806,99343294,13330,532866,2470424,935441832,2,6,8,6,10626,2886
496,557,3008670631,216592649,8736,350191,1381056,1004722328,2,6,7,9,71704,2233
496,677,3135827117,341889057,16160,1326908,13521776,507324568,10,6,3,8,33423,7344
498,677,2750539301,255755609,12346,1772343,5207812,608869216,6,6,0,6,30920,8234
520,795,2532842504,528146317,17824,2404158,2752606,834511240,14,6,10,4,53885,13378
526,677,2339416938,208059206,20695,1150049,8833742,947342152,10,6,1,6,33423,6785
526,706,2655869294,4287109308,65687,5018574,63430187,946886464,48,6,5,6,89125,21894
550,795,2362614361,524057859,18136,2793327,2980172,641326216,14,6,10,4,54640,12966
556,767,2550946226,515158674,10044,1126186,2307296,881970872,3,6,13,8,28091,9374
556,797,2438584093,406337154,9209,885411,2104554,1071971256,2,6,13,8,17312,8826
579,795,2292024847,518691544,17598,2727297,2828515,651897432,14,6,10,4,54640,12555
580,795,2282814935,531919450,18141,2295266,2771100,867216968,14,6,10,4,54640,12843
586,767,2424681199,579385925,9396,1165786,2075054,1158551944,3,6,11,7,30628,9519
587,676,2375791963,2736736540,16247,4895004,5634139,1066173496,12,6,8,6,71443,20964
587,737,2386673767,1901551782,31526,2506036,20835046,1117433024,25,6,10,8,65460,12590
587,797,2257380171,1248493150,19650,2544425,3311080,778499448,15,6,9,7,33733,11728
588,707,2076343905,206354937,10413,1128439,3337463,896465832,4,6,8,8,27154,7079
592,766,2302610072,178231900,7278,416953,1673373,997585104,1,6,8,8,37976,5285
593,679,2401713788,6273321093,110722,6925634,13431782,1465066152,52,25,25,6,147287,23818
593,766,2534640330,329269127,12494,907628,2357361,1578937888,1,6,8,8,37976,5447
609,795,2636493222,734368846,19524,5084340,5181031,883243208,14,6,10,4,54640,12133
616,797,2772131238,457647779,12325,1508808,3140803,1082554504,2,6,11,7,18174,8896
617,676,2630298593,3938157331,16356,7834454,9196931,690636408,12,6,8,6,73183,21490
617,797,2440901764,1146704868,19617,2207900,2967775,333605072,15,6,9,7,33733,11005
618,707,2072155016,269440725,11950,1121481,3199884,441812688,4,6,6,8,16915,6792
621,766,2302411613,172054892,8619,514219,1190148,531980784,1,6,8,8,38636,4811
622,766,2321911693,185289723,8535,506403,1230254,640190832,1,6,8,8,38636,4883
638,795,2235733413,506737348,26753,2616216,2825417,838568496,14,6,10,4,54640,11730
639,795,2230984160,510909770,20133,2691081,2685238,134776944,14,6,10,4,54640,11906
646,737,2587323651,1734021119,30762,1919912,10130340,838226744,27,6,8,7,78181,10637
646,797,2435138592,1087824182,19801,2115235,2521245,405946864,16,6,7,6,42166,10414
647,649,2374170847,193081253,9671,518942,1438426,496170736,4,6,1,6,28883,3466
647,650,2246168490,236455680,10787,567679,1820775,604446576,4,6,5,6,28883,3887
647,795,2358842292,246953239,10103,896968,2270761,857072120,3,6,13,8,53809,7314
649,651,2413819605,3433743745,107075,3042392,58427936,394171488,72,6,8,6,161756,12485
649,766,2271866540,150161302,8844,327060,872625,466571760,1,6,7,8,40017,3113
650,766,2329425550,178034520,9030,552388,1591016,557066216,1,6,8,8,40477,3854
651,766,2340614453,168335602,9249,467764,1097518,647558072,1,6,8,8,38636,4339
668,795,2291392101,599750533,20065,2493860,2918004,900939456,16,6,10,4,56518,12653
676,796,2621299387,900455093,53226,2509856,51527180,393974112,43,6,2,6,112862,15457
678,766,2296765559,151347790,9004,309830,774497,484461400,1,6,6,8,43926,2701
679,766,2395659741,145949922,9124,420764,1052105,556868192,1,6,7,8,39783,3895
680,706,2303285204,162774862,7349,752206,1763767,647357024,1,6,11,13,29622,6360
681,706,2283262682,179145199,9707,714385,1583180,737843696,1,6,11,13,29622,6099
697,795,2214350220,532646653,20088,2445409,2781511,991206656,16,6,10,4,57031,12069
698,795,2288338890,574916247,20799,2912362,3057803,318743008,16,6,10,4,57031,12219
708,736,2295713253,124649987,9702,382437,1548550,391345928,3,6,7,6,29958,2294
756,795,2112565951,525146655,20982,2289065,2815154,627305384,16,7,12,5,24073,10975
757,795,2249702682,535867816,20281,2243814,2805069,863255400,17,6,11,5,58348,10235
767,826,2439766284,450301329,19947,869935,4033480,1062929392,19,5,7,5,125956,4382
789,795,2237778943,488863745,21385,1856771,2560079,383832328,17,7,12,5,59125,8964
251,343,2096202566,176662760,9407,624375,2946937,472068336,4,5,7,5,16081,5303
281,283,2073737681,231025436,10405,488600,1467502,577953616,11,6,8,6,22976,4178
282,283,2392143703,179065373,13350,288641,975704,648548416,3,2,3,2,76881,1722
282,377,2427173015,360799050,23246,1278048,4424383,807370696,15,10,12,5,22995,7968
282,438,2444382471,142184145,11377,1039570,4623701,860312504,6,5,10,5,17086,6643
282,468,2351215772,92086465,9044,852276,3012895,913252328,4,5,10,5,12583,6077
283,438,2105059667,123666874,10822,874631,4033366,966200768,6,5,10,5,21944,6045
283,468,2195311918,64389530,9504,753190,2801195,1019143648,4,5,10,5,12583,5585
284,376,2174428511,390539432,25021,1208878,5188208,289665720,22,5,7,5,32720,6257
284,377,2337871872,356177006,23590,1166596,5534084,444153432,22,5,7,5,32720,6605
284,438,2157427378,143917830,15956,1232476,4737446,495655080,6,5,10,5,21944,5760
284,468,2250723266,64602809,8539,679948,2793079,547148288,4,5,10,5,12583,5355
312,372,2246217914,468734318,57661,954568,827381,735971232,39,13,14,5,64372,3915
312,402,2467790376,731073035,82829,1953266,6150942,976288336,41,9,14,5,64093,5712
314,438,2374335665,133594333,12396,895732,3449523,169761184,6,5,7,5,22963,5040
314,468,2253802269,74544445,13586,654987,2381420,203148504,4,5,7,5,12583,4746
315,347,2163729931,404972863,31250,1674219,6196869,370094704,21,5,2,5,30650,5625
342,401,2636458643,389328565,92963,769116,6171944,520344840,65,5,0,5,103276,3802
342,756,2476606442,875319156,51399,2685835,21000332,820813504,41,6,4,5,52468,17446
344,796,2173409161,85127103,9167,820270,5431447,870891848,3,5,2,5,18154,8931
344,826,2195247886,86808509,9363,858003,5733626,920970192,3,5,4,5,18154,9260
378,616,2139874199,4047892860,16829,3393038,5380782,1001321456,14,5,10,5,47818,16068
378,676,2352138392,4206895313,16180,3869506,4607812,1087270216,14,5,10,5,58893,17514
431,760,2338044237,1059590735,39589,3757060,11200757,595215176,33,5,24,20,86862,16440
431,761,2476267477,898429600,36703,4321341,11895802,966894200,33,5,25,20,86862,16756
431,762,2727037820,1093242922,60599,7566610,22768728,462811800,33,5,25,20,85922,17995
431,792,2289316264,974979731,37434,3790573,12079882,852182440,33,5,25,20,85922,18434
460,760,2305828104,828491187,36918,3445022,11243053,1241576712,33,5,24,20,88444,15587
460,761,2347830787,1001178527,37009,3060240,10978264,712636568,33,5,25,20,88444,15903
460,762,2287650922,897799875,36863,3985886,12388385,1069142880,33,5,25,20,87504,17142
460,792,2236594494,967448438,38167,4610112,13787508,565191896,33,5,25,20,87504,17581
461,760,2288160935,941164022,37955,3163506,10445252,903873864,33,5,24,20,86862,16324
461,761,2212481767,874256653,28410,2411291,8262793,1260381240,33,5,25,20,86862,16640
461,762,2409728165,946886933,38009,3751823,11852766,738531264,33,5,25,20,85922,17879
461,792,2229809327,963960682,36993,3778493,12563065,1133687864,33,5,25,20,85922,18318
467,796,2476514991,402598743,13481,1427962,2175404,402268584,9,5,5,5,48550,8663
468,676,2244557928,2757752501,15426,4513755,6395088,720425928,12,5,8,5,54160,17751
468,706,2241809884,1555771429,10787,2736070,4351182,447297080,5,5,8,5,43152,12283
490,760,2456660385,880556299,58124,3481379,12574101,789369744,34,5,23,20,90346,15099
490,761,2368075821,887014718,37891,3078540,11385380,1149441688,34,5,24,20,90346,15428
490,762,2277313050,994086722,41733,4730674,14224162,565181384,34,5,24,20,89406,16705
490,792,2485831253,960669938,37669,3596320,12487111,959877168,34,5,24,20,89406,17154
496,587,2299791839,103342320,7269,402282,1493054,1013696968,2,5,7,7,46408,3087
496,706,2363717578,3128968793,49872,4692494,39924442,512828712,40,5,6,5,81918,20082
498,676,2167561330,2944834415,16138,4635412,6392594,876023016,12,5,8,5,56162,18544
498,706,2116977151,1426165388,10940,2531421,5135087,647446096,5,5,8,5,43709,12555
523,584,2111867791,39196998,6613,81484,247164,647446096,4,5,1,5,27690,592
526,796,2479030527,1983075449,35733,4546790,53105649,523332104,30,5,6,5,70487,20576
528,676,2311063015,2864524485,22657,3753542,4071419,857341608,12,5,10,5,56497,19610
528,706,2157193829,1405212219,11195,2635850,3666916,597160512,5,5,10,5,43709,13140
553,584,2087791658,130661388,9457,87696,153453,615059264,4,5,2,5,27690,554
557,767,2341320012,1239695082,18598,1892466,2715326,1134128704,16,5,10,9,51345,11228
586,797,2369951988,350628315,10273,1246953,2931872,1313111744,2,5,10,6,17307,7898
