R1,R2,QT,CT,GT,STDT,SEGT,MEM,STD,NSTD,STDSEG,NOTSTDSEG,PTQTDALL,PTQTDEPR
646,556,2710710755,1822263883,172308,2531010,54692134,925558672,66,39,2,39,232337,10446
647,556,2361923403,301550631,39382,681375,4899952,442374184,37,4,0,4,109546,3545
796,556,2848657440,1370258837,61362,5175023,53568992,441110120,17,23,23,21,134997,21803
646,586,2724836457,1275786233,231488,1625329,39129180,385202344,74,50,0,50,281187,6130
677,587,2774805958,507027195,43608,1306288,19897710,616530328,26,18,12,20,126299,8334
706,587,2853304308,1140240633,40208,2612965,31160878,450029256,21,19,19,22,123389,12917
766,617,2692017879,2378149966,57379,4111231,71223241,847554072,25,28,21,31,162704,23213
796,617,2809177324,2669706314,52596,4701260,71706667,553015832,24,27,27,28,152928,25420
826,617,2710261341,2729444450,49434,4961398,64088722,1005407328,24,23,27,24,121790,27332
823,759,2196822788,283955106,18327,1166501,7127069,688931712,19,3,5,2,85820,5845
796,760,2798213118,2358831494,85763,4533140,7663957,700589800,53,11,10,11,115599,13350
825,760,2878334807,1733501661,94257,2194448,4083076,1327575424,62,7,6,6,121498,7809
826,760,3020568640,1683075219,93177,2199810,4647206,1151920320,62,7,6,6,121498,7809
796,761,2741661560,2345927993,84437,4044144,7128288,1099232616,53,11,10,11,115599,13350
825,761,2682107282,1929070764,95045,2295542,4054440,1000193856,62,7,6,6,121498,7809
826,761,2744231638,1993709357,94529,2291244,4079495,897778728,62,7,6,6,121498,7809
796,762,2901130148,2349209967,84059,4015002,6587553,1086806624,53,11,10,11,115599,13350
825,762,2660610463,1859747816,93981,2363220,4790391,1059516296,62,7,6,6,121498,7809
826,762,2735727333,1857278875,94186,2319141,4448952,1060498840,62,7,6,6,121498,7809
824,789,2715901409,1633902817,68900,2855368,222493,1013055120,54,2,2,0,104414,9735
312,252,2421300313,238902024,32072,637840,5501261,1128176176,12,25,0,25,73464,3289
313,282,2618411177,604982349,53563,337955,392863,64330256,31,9,9,9,200377,1799
402,282,2282366443,210850543,19838,559017,515939,153871456,17,6,7,2,72584,3445
313,284,2504783169,244611912,19874,755042,1849254,243409688,3,2,1,2,105896,2924
314,284,2484162921,242817234,14841,483143,1298430,332950408,3,2,1,2,105896,2924
460,312,2300242941,379808493,29741,980344,1259505,473668472,21,11,12,5,85475,5187
580,312,2293854044,329256287,24619,1097532,1124231,614388040,20,7,8,5,77441,6631
756,312,2340844377,449934716,25350,1827523,1547573,150819712,17,9,10,5,74563,10273
757,312,2370479688,425882862,23468,1520110,1517952,312390496,17,9,10,5,74563,10273
760,312,2319711967,345964755,17023,1672163,4268604,473942488,12,9,13,8,72687,11836
761,312,2253217368,345168098,17572,1666698,4198188,622040928,12,9,13,8,72687,11836
823,372,2177796149,222706677,13400,1478835,2517372,58173048,11,3,6,3,68647,8390
823,402,2274923309,229525226,12148,1293331,2481786,165887872,12,3,5,3,72353,8495
823,431,2182673103,250148200,14530,1357810,2716718,287059672,13,3,5,2,72295,8696
676,438,2764125889,1119539632,65732,5333188,49471245,131776152,18,26,9,26,113046,17495
823,460,2283949208,271603754,15007,1481588,2764008,267877784,14,3,4,1,72857,8908
823,461,2262137005,270255969,15405,1489606,2790079,390381616,14,3,4,1,72857,8908
526,467,2771074676,3286327064,56023,3889797,54724588,418743136,33,20,6,19,104895,17592
823,490,2249922201,288989504,15688,1560093,2974789,560188256,15,3,4,1,73905,9060
