R1,R2,QT,PT,MEM,STD,NSTD,STDSEG,NOTSTDSEG,PTQTDALL,PTQTDEPR
467,796,2308282028,2579040,119990456,9,5,5,5,21304,8663
468,676,2176463674,5779847,150214648,12,5,8,5,34270,17751
468,706,2167275852,3940643,174411000,5,5,8,5,18950,12283
490,760,2434614736,11702128,108072768,34,5,23,20,43514,15099
490,761,2221511565,12228767,156565360,34,5,24,20,43514,15428
490,762,2330502034,13759814,102043960,34,5,24,20,43514,16705
490,792,2351060782,14198462,150180616,34,5,24,20,43514,17154
496,587,2375478072,1896266,76379032,2,5,7,7,13408,3087
496,706,2553676982,42454608,122000776,40,5,6,5,65562,20082
498,676,2223659976,6313374,152443280,12,5,8,5,34270,18544
498,706,2283815593,3861325,63446160,5,5,8,5,18950,12555
523,584,2056924197,401089,78665480,4,5,1,5,23248,592
526,796,2377750920,44348667,115637216,30,5,6,5,47511,20576
528,676,2197611636,6476571,148257736,12,5,10,5,34270,19610
528,706,2285130810,4088511,63607872,5,5,10,5,18950,13140
553,584,2258866439,182702,76996896,4,5,2,5,23248,554
557,767,2471369114,2129878,105966480,16,5,10,9,33877,11228
586,797,2366560015,2116193,114880176,2,5,10,6,13784,7898
587,708,2299368233,4534193,130487592,4,5,6,6,15572,8646
588,706,2093515167,2727982,139411288,1,5,9,7,10497,4444
592,679,2417478759,17205236,108020296,72,5,5,5,131580,21915
592,706,2256928441,3709864,128098304,3,5,7,6,18218,5127
592,796,2372952176,2362267,82806064,1,5,11,6,15061,5020
593,706,2263441273,3702608,100854840,3,5,7,6,18218,5312
593,796,2390275861,2409473,159415872,1,5,11,6,15061,5159
617,737,2275208727,10900013,81883776,25,5,9,7,48044,10561
618,706,2056033444,1654574,88643200,1,5,5,7,10497,4266
621,679,2466520219,16887477,169786064,72,5,5,5,131580,16897
621,706,2281972500,3434222,68351936,3,5,7,6,18218,4612
621,796,2385617287,2184191,126297288,1,5,11,6,15061,4614
622,679,2442168185,16739658,105296456,72,5,5,5,131580,17746
622,706,2232959870,3531898,123865184,3,5,7,6,18218,4693
622,796,2388994239,2186334,181834728,1,5,11,6,15061,4676
646,648,2475528754,908417,63676120,4,5,2,5,23280,1780
646,651,2464681338,2964356,80402576,4,5,6,7,25735,5657
646,678,2488163354,3938707,99535608,6,5,2,5,26113,5196
646,679,2481606995,2374060,113870808,4,5,3,5,23957,4559
646,680,2475340123,1784069,125827880,4,5,6,6,23377,2933
646,681,2454914623,2064144,140163096,4,5,7,8,23377,3503
646,708,2485571902,2367709,156923440,2,5,12,10,15541,6237
647,651,2306168789,3755130,171258584,4,5,6,7,25909,5396
647,680,2294042448,901238,65422896,4,5,5,5,23551,1749
647,681,2256779152,1128649,79794496,4,5,6,8,23551,2316
647,708,2246117756,1965521,94139600,2,5,11,9,15541,5709
648,649,2137249441,105798,120428504,13,5,0,5,39935,462
648,650,2127384255,385656,146767400,13,5,5,5,39935,1366
648,680,2121912779,642841,170694680,12,5,5,5,39334,1696
649,706,2285773779,2520656,72550184,3,5,6,6,18218,2722
649,796,2475437219,1104274,131171224,1,5,11,7,15061,3120
