R1,R2,QT,PT,MEM,STD,NSTD,STDSEG,NOTSTDSEG,PTQTDALL,PTQTDEPR
469,531,1965084067,1968930,51177040,6,37,32,46,5696,2187
471,560,1998046272,7599090,57318296,33,42,37,42,9310,2926
471,562,2005021274,22752735,44131240,100,34,18,34,16661,5463
476,536,1941865903,3495092,48223680,27,40,5,39,7066,1572
507,535,1926439762,1678148,51495368,6,41,28,50,5836,1786
535,656,2095444024,10109440,35913032,31,24,30,25,9770,3514
536,564,1961054679,2781788,44105600,98,39,39,39,13280,2999
551,584,1932367389,2099319,48614560,33,25,21,9,10704,2356
556,591,2029167930,11069108,36254696,46,34,42,34,14338,5385
561,652,2100442146,6985435,40755344,26,34,19,33,8401,3315
562,686,2054896209,11708066,46075536,26,34,12,34,8900,4793
562,687,2047093940,7504526,50573608,16,33,8,33,7992,4293
595,622,2058197551,11539668,37613944,44,29,5,29,10236,3366
596,659,2030778320,3074149,46218048,20,39,39,56,12302,2417
621,625,2060835524,11412305,53169616,21,38,17,36,9425,4020
622,681,2025300627,5318313,39533240,17,37,15,36,6005,1931
625,653,2026215857,7647286,47305624,37,38,1,38,8085,2137
626,654,2075287584,23299766,35544320,86,34,3,34,11429,3323
657,717,2025563039,4392284,39638808,19,29,33,28,5350,1616
676,710,1967700886,13448415,46181072,35,35,22,37,11202,3481
677,711,1998305832,42335259,54768560,75,45,22,34,20483,6568
686,746,2086789121,5107460,47740432,49,33,42,25,8593,1937
687,775,2006031886,1820616,51433272,7,35,55,38,5447,2399
688,717,2036989634,14588758,47601408,182,29,22,29,25965,1659
28,116,1982670222,544789,48424128,72,1,1,1,39352,2803
166,203,1933494655,1738358,57000008,51,1,2,1,22195,4281
201,235,1918954313,1739452,39244432,19,25,26,27,15509,2169
295,533,1958306592,4469672,48258416,29,19,23,22,19814,5969
325,597,1972425349,2996326,53981704,27,23,27,22,14166,6980
386,627,2190434214,2619506,41954032,60,9,11,5,18367,7743
409,439,1989579001,1079331,54231976,146,38,0,38,20702,368
411,501,1959733978,12474748,41145856,56,39,2,39,12176,3406
467,497,2023177757,1156945,39090336,176,34,1,33,23926,420
468,532,1981827844,7742234,44416264,44,21,24,22,11854,4367
468,562,1988229734,24059577,51782544,58,36,30,39,15202,7273
471,533,2051959301,3387926,55875456,14,37,13,37,7070,2692
473,502,1991257627,4891163,43266576,84,29,17,29,12775,1214
475,563,2029474242,9551657,49818960,43,37,31,38,12387,3752
498,562,1982727124,26449677,37816048,76,37,31,38,17227,7220
504,597,1993924025,12473415,47641240,73,27,32,28,18352,5756
522,554,1994152841,13881415,49219176,262,14,7,13,51162,4923
530,624,2127287349,16921689,56792800,55,36,22,35,13075,6014
530,625,2110702043,5361848,38858976,9,41,33,47,8190,4381
531,559,2068199537,3365960,47631528,25,36,34,36,11947,1860
554,643,1983640956,1940713,36346248,87,2,1,2,15783,3070
565,595,2125482243,25150778,66078784,500,25,1,24,80636,1864
596,622,2013634096,5662658,48180960,21,41,18,42,9447,3970
623,683,1984438073,5032760,55768048,45,26,5,25,7850,1892
624,656,2005477473,12308784,48622416,99,32,18,32,15741,3114
673,678,1900264104,8173138,53405632,19,31,21,33,9685,3133
674,679,1931266791,54695889,62973800,92,29,6,29,22597,7341
675,707,2026026001,2818690,47192416,20,37,20,36,8115,1680
707,737,1922431223,950604,54383264,41,39,0,39,8178,241
710,741,2092389730,2576093,61165624,14,33,22,34,6220,1215
817,821,1910507584,3605624,50564024,58,4,2,3,23805,3337
170,326,1918838295,2837999,57339096,34,6,11,7,16480,4092
198,204,1964285865,4172688,47143448,65,7,8,7,29458,4992
203,235,1950068081,2360640,56314576,22,28,29,29,17874,1085
265,416,2006583062,9618665,54485256,74,10,11,10,36462,5062
320,410,1951255893,12517407,60862496,44,35,1,35,11001,2697
322,445,1994935137,13095259,65642784,31,25,27,23,11876,5257
